store_id,store_name,addr_id,addr_num,addr_st,addr_add,city,state,zip5,store_type,stype_num,store_group,stgrp_num,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020_Jan,Y2020,X,Y,method,match
st_229538,BILL'S CONVENIENCE STORE,A047286,10122,Blue Ridge Dr,NA,Blue Ridge,GA,30513,Convenience Store,3,Small retail,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,-84.32247138,34.87421968,esri,PointAddress
st_229539,TODDLER STOP,A329913,6163,Reynolds Rd,Ste H,Morrow,GA,30260,Combination Grocery/Other,2,Small retail,4,0,0,1,1,1,0,0,0,0,0,0,0,0,0,-84.33884282,33.5883115,esri,PointAddress
st_229543,KNIGHT'S CHEVRON 2,A203744,1531,Dews Pond Rd NE,NA,Calhoun,GA,30701,Convenience Store,3,Small retail,4,0,0,1,0,0,0,0,0,0,0,0,0,1,1,-84.9165982,34.5031533,google,range_interpolated
st_229585,REBEL PANTRY 1,A149939,7320,Blue Ridge Dr,NA,Blue Ridge,GA,30513,Convenience Store,3,Small retail,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,-84.36090477,34.8969301,esri,NA
st_229588,REBEL PANTRY 5,A196588,4500,Appalachian Hwy,NA,Blue Ridge,GA,30513,Convenience Store,3,Small retail,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,-84.31685795,34.87448575,esri,NA
st_229616,SAM'S QUICK STOP #2,A290732,1000,Pine St,NA,Unadilla,GA,31091,Convenience Store,3,Small retail,4,0,0,1,1,1,1,0,0,0,0,0,0,0,0,-83.74242665,32.24846133,esri,NA
st_229632,Family Dollar Store 107,A144349,35,Glendale St,NA,Toccoa,GA,30577,Combination Grocery/Other,2,Small retail,4,0,0,1,1,1,1,1,1,1,1,1,1,1,1,-83.31101,34.57358,usda,NA
st_229636,Circle K 2723737,A072516,3539,Wheeler Rd,NA,Augusta,GA,30909,Convenience Store,3,Small retail,4,0,0,1,1,1,1,1,1,1,1,1,1,0,0,-82.0774,33.48558,usda,NA
st_229646,WIGGINS GENERAL STORE,A358460,4411,Rocky Ford Rd,NA,Valdosta,GA,31601,Convenience Store,3,Small retail,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,-83.38321187,30.73609902,esri,PointAddress
st_229677,CLYDE'S MARKET 72,A077738,7043,Shellman Bluff Rd NE,NA,Townsend,GA,31331,Convenience Store,3,Small retail,4,0,0,1,1,1,1,1,1,1,1,0,0,1,1,-81.37064,31.58644,usda,NA
