store1id,store1name,store2name,store2name_1,address_distence,name_distance,address1,address2,add_dist,dup
jackson's 504,st_059797,jackson's 520,st_059809,11,2,5829 NE M L King Blvd_NA_Portland_OR_97211,621 SE Grand Ave_NA_Portland_OR_97214,15,0
jackson's 504,st_059797,jackson's 523,st_059811,10,2,5829 NE M L King Blvd_NA_Portland_OR_97211,515 NE 82nd Ave_NA_Portland_OR_97220,15,0
la michoacana meat market 28,st_124957,la michoacana meat market 3,st_182530,9,2,12385 Bissonnet St_NA_Houston_TX_77099,1419 Wilcrest Dr_NA_Houston_TX_77042,15,0
pdq store 114,st_223820,pdq store 116,st_223822,11,1,4112 Milwaukee St_NA_Madison_WI_53714,6702 Raymond Rd_NA_Madison_WI_53719,15,0
short line express market,st_179970,short line express market 1,st_023735,10,2,7095 S Durango Dr_NA_Las Vegas_NV_89113,4004 N Tenaya Way_NA_Las Vegas_NV_89129,15,0
speedway 3547 3547,st_269360,speedway 3548 3548,st_269361,11,2,7837 E Lincoln Hwy_NA_Lima_OH_45801,2615 N West St_NA_Lima_OH_45801,15,0
tom thumb food stores inc 223,st_314123,"tom thumb food stores, inc 217",st_314122,18,3,97950 Overseas Hwy_NA_Key Largo_FL_33037,88501 Overseas Hwy_NA_Tavernier_FL_33070,15,0
7-eleven convenience store 37535a,st_406267,7-eleven convenience store 37692a,st_413926,10,3,5000 Ross Ave_NA_Dallas_TX_75206,1885 John West Rd_NA_Dallas_TX_75228,16,0
bryant's market 03,st_013864,bryant's market 04,st_013865,11,1,10010 Audobon St_NA_El Paso_TX_79924,324 N Zaragoza Rd_NA_El Paso_TX_79907,16,0
cheers food and fuel 130,st_282238,cheers food and fuel 132,st_282240,12,1,63 Slickback Rd_NA_Benton_KY_42025,1870 Mayfield Hwy_NA_Benton_KY_42025,16,0
circle k 2723224,st_007780,circle k 2723228,st_045468,11,1,1255 W Ashland Ave_NA_Louisville_KY_40215,5203 Greenwood Rd_NA_Louisville_KY_40258,16,0
circle k 2728802,st_166450,circle k 2728811,st_164088,10,2,6422 Benjamin Rd_NA_Tampa_FL_33634,4801 W Gandy Blvd_NA_Tampa_FL_33611,16,0
circle k store 03797,st_130314,circle k store 04737,st_138719,14,2,13289 Old Hammond Hwy_NA_Baton Rouge_LA_70816,12891 Coursey Blvd_NA_Baton Rouge_LA_70816,16,0
cvs 10716,st_364197,cvs 10721,st_364202,15,2,2399 W 52nd St_NA_Hialeah_FL_33016,9686 SW 24th St_NA_Miami_FL_33165,16,0
cvs 6553,st_112869,cvs 6564,st_193785,11,2,2320 Cunningham Rd_NA_Indianapolis_IN_46224,6248 Allisonville Rd_NA_Indianapolis_IN_46220,16,0
dillon store 016,st_155066,dillon store 023,st_155165,17,2,8828 W 13th St N_NA_Wichita_KS_67212,1108 E 1st St_NA_Pratt_KS_67124,16,0
food city 140,st_065514,food city 162,st_032916,10,2,6544 W Thomas Rd_NA_Phoenix_AZ_85033,845 W Southern Ave_NA_Phoenix_AZ_85041,16,0
fred meyer 00172,st_158455,fred meyer 00227,st_098942,14,3,10201 SE 240th St_NA_Kent_WA_98031,150 NE 20th St_NA_Newport_OR_97365,16,0
in & out mart 7,st_079731,in & out mart 9,st_113174,16,1,1646 W Alexis Rd_NA_Toledo_OH_43612,5101 Alexis Rd_NA_Sylvania_OH_43560,16,0
indu sai,st_296930,indu sai,st_296926,11,0,5328 Pleasant Ridge_NA_Knoxville_TN_37912,3101 Tazewell Pike_NA_Knoxville_TN_37918,16,0
little general 2390,st_118492,little general 3015,st_151764,14,4,404 3rd Ave_NA_Beckley_WV_25801,202 S Eisenhower Dr_NA_Beckley_WV_25801,16,0
martinez mini market,st_189024,martinez mini market,st_219650,10,0,5117 Avalon Blvd_NA_Los Angeles_CA_90011,380 W 38th St_NA_Los Angeles_CA_90037,16,0
papa murphys id-012,st_080678,papa murphys id-015,st_083712,19,1,64 N 2nd E_NA_Rexburg_ID_83440,524 W 3rd St_NA_Moscow_ID_83843,16,0
pdq store 114,st_223820,pdq store 125,st_223879,12,2,4112 Milwaukee St_NA_Madison_WI_53714,1625 N Stoughton Rd_NA_Madison_WI_53704,16,0
river rouge deli inc,st_022109,river rouge petro inc,st_081940,12,4,340 Visger Rd_NA_River Rouge_MI_48218,10693 W Jefferson Ave_NA_River Rouge_MI_48218,16,0
scotchman 124,st_181442,scotchman 146,st_181447,13,2,3020 S Highway 17_NA_Murrells Inlet_SC_29576,940 Inlet Square Dr_NA_Murrells Inlet_SC_29576,16,0
speedway 9581,st_053683,speedway 9582,st_053682,12,1,124 E Galbraith Rd_NA_Cincinnati_OH_45216,2713 Williams Ave_NA_Cincinnati_OH_45209,16,0
"stinker stores, inc. 67",st_290749,"stinker stores, inc. 69",st_290751,13,1,440 Yellowstone Ave_NA_Pocatello_ID_83201,3530 Highway 30 W_NA_Pocatello_ID_83201,16,0
times market #200,st_117475,times market #88,st_140511,10,3,1802 Baldwin Blvd_NA_Corpus Christi_TX_78404,4261 Elvira Dr_NA_Corpus Christi_TX_78416,16,0
times market #88,st_140511,times market 121,st_047603,10,3,4261 Elvira Dr_NA_Corpus Christi_TX_78416,3418 Baldwin Blvd_NA_Corpus Christi_TX_78405,16,0
timesaver 10,st_010129,timesaver 40,st_010175,14,1,400 S Zetterower Ave_NA_Statesboro_GA_30458,301 N Main St_NA_Statesboro_GA_30458,16,0
tommy's 19,st_261821,tommy's 21,st_261823,12,2,5028 N 19th St_NA_Waco_TX_76708,4020 Interstate 35 S_NA_Waco_TX_76706,16,0
wesco 03,st_144047,wesco 26,st_083360,11,2,1385 W Sherman Blvd_NA_Muskegon_MI_49441,2277 E Broadway Ave_NA_Muskegon_MI_49444,16,0
7-eleven 53320,st_028502,7-eleven 53324,st_028507,11,1,4130 Hercules Ave_NA_El Paso_TX_79904,5598 Doniphan Dr_NA_El Paso_TX_79932,17,0
allsups 057,st_161598,allsups 076,st_107609,19,2,1003 Main Ave_NA_Ralls_TX_79357,811 N Main St_NA_Shamrock_TX_79079,17,0
caper house 1,st_391333,caper house 4,st_399412,18,1,401 N Main St_NA_Saluda_SC_29138,215 S Pine St_NA_Batesburg_SC_29006,17,0
corner pantry 148,st_300200,corner pantry 155,st_392547,18,2,488 W Boyce St_NA_Manning_SC_29102,725 Pine St_NA_Pelion_SC_29123,17,0
costco wholesale 0095,st_214417,costco wholesale 0103,st_214418,20,3,2219 S 37th St_NA_Tacoma_WA_98409,301 5th St_NA_Clarkston_WA_99403,17,0
