gisjn_ua,name_ua,fips_ua,STATE,Region,Division,year,99cent,dg,grocer,super,walmart,dg_add,grocer_drop,super_drop
G51229,"Long Prairie, MN",51229,Minnesota,Midwest Region,West North Central Division,Y2017,0,0,1,1,0,0,1,0
G52001,"Lula, GA",52001,Georgia,South Region,South Atlantic Division,Y2017,0,0,1,0,0,0,0,0
G52174,"Lykens, PA",52174,Pennsylvania,Northeast Region,Middle Atlantic Division,Y2017,0,0,1,1,0,0,0,0
G52228,"Lynden, WA",52228,Washington,West Region,Pacific Division,Y2017,0,0,1,2,0,0,0,0
G52352,"Mabton, WA",52352,Washington,West Region,Pacific Division,Y2017,0,0,3,0,0,0,0,0
G52606,"McGregor, TX",52606,Texas,South Region,West South Central Division,Y2017,0,0,1,0,0,0,0,0
G53308,"Madras, OR",53308,Oregon,West Region,Pacific Division,Y2017,0,0,1,2,0,0,0,0
G53605,"Mammoth Lakes, CA",53605,California,West Region,Pacific Division,Y2017,0,0,2,1,0,0,0,0
G53875,"Manila, AR",53875,Arkansas,South Region,West South Central Division,Y2017,0,0,1,0,0,0,0,0
G53956,"Manitowoc, WI",53956,Wisconsin,Midwest Region,East North Central Division,Y2017,0,0,1,6,1,0,0,0
G54226,"Manti, UT",54226,Utah,West Region,Mountain Division,Y2017,0,0,1,0,0,0,0,0
G54496,"Marinette--Menominee, WI--MI",54496,Wisconsin,Midwest Region,East North Central Division,Y2017,0,0,1,3,0,0,0,1
G54874,"Marquette, MI",54874,Michigan,Midwest Region,East North Central Division,Y2017,0,0,2,4,0,0,0,0
G54982,"Marshall, MN",54982,Minnesota,Midwest Region,West North Central Division,Y2017,0,0,3,2,1,0,0,0
G55144,"Marshfield, WI",55144,Wisconsin,Midwest Region,East North Central Division,Y2017,0,0,3,5,1,0,0,0
G55522,"Mattawa, WA",55522,Washington,West Region,Pacific Division,Y2017,0,0,4,1,0,0,0,0
G55927,"Mecca, CA",55927,California,West Region,Pacific Division,Y2017,0,0,1,0,0,0,0,0
G56224,"Menomonie, WI",56224,Wisconsin,Midwest Region,East North Central Division,Y2017,0,0,1,4,1,0,0,0
G56359,"Merrill, WI",56359,Wisconsin,Midwest Region,East North Central Division,Y2017,0,0,1,4,1,0,0,0
G57061,"Mifflinburg, PA",57061,Pennsylvania,Northeast Region,Middle Atlantic Division,Y2017,0,0,2,1,0,0,0,0
G57088,"Milan, MI",57088,Michigan,Midwest Region,East North Central Division,Y2017,0,0,1,1,0,0,0,0
G57142,"Milbank, SD",57142,South Dakota,Midwest Region,West North Central Division,Y2017,0,0,1,1,0,0,0,0
G57169,"Miles City, MT",57169,Montana,West Region,Mountain Division,Y2017,0,0,1,3,1,0,0,0
G57331,"Millinocket, ME",57331,Maine,Northeast Region,New England Division,Y2017,0,0,2,1,0,0,0,0
G57601,"Minerva, OH",57601,Ohio,Midwest Region,East North Central Division,Y2017,0,0,2,2,0,0,0,0
G57655,"Minot, ND",57655,North Dakota,Midwest Region,West North Central Division,Y2017,0,0,2,8,1,0,0,1
G58033,"Molalla, OR",58033,Oregon,West Region,Pacific Division,Y2017,0,0,1,1,0,0,0,0
G58249,"Monmouth--Independence, OR",58249,Oregon,West Region,Pacific Division,Y2017,0,0,1,2,0,0,0,0
